community,community_area,population,type,total22,total23,total24,total25,total26,total19,total20,total21,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Roseland,49,39000,Property,2897,2941,2632,2421,1459,2631,2683,2274,2230,7994,2664.7,-8,-15.2,-7.9,-16,6746.2,6879.5,5830.8,7428.2,7541,6748.7,6207.7,5717.9,6832.6
Roseland,49,39000,Society,1007,1037,1016,1031,844,1618,1119,1051,1182,3084,1028,-36.3,-26.9,14.6,15,4148.7,2869.2,2694.9,2582.1,2659,2605.1,2643.6,3030.8,2635.9
North Center,5,35000,People,273,311,277,251,160,232,211,223,249,839,279.7,8.2,7.3,-0.8,-11,662.9,602.9,637.1,780,888.6,791.4,717.1,711.4,799.1
North Center,5,35000,Property,975,1052,982,852,589,933,825,695,919,2886,962,-8.7,-1.5,7.9,-4,2665.7,2357.1,1985.7,2785.7,3005.7,2805.7,2434.3,2625.7,2748.6
North Center,5,35000,Society,134,135,125,147,89,111,121,106,146,407,135.7,32.4,31.5,-0.7,8,317.1,345.7,302.9,382.9,385.7,357.1,420,417.1,387.7
Pullman,50,7000,People,298,390,365,359,229,409,316,328,342,1114,371.3,-12.2,-16.4,-4.7,-8,5842.9,4514.3,4685.7,4257.1,5571.4,5214.3,5128.6,4885.7,5304.3
Pullman,50,7000,Property,496,543,581,538,382,500,422,438,543,1662,554,7.6,8.6,0.9,-2,7142.9,6028.6,6257.1,7085.7,7757.1,8300,7685.7,7757.1,7914.3
Pullman,50,7000,Society,168,165,180,199,135,255,187,170,206,544,181.3,-22,-19.2,3.5,14,3642.9,2671.4,2428.6,2400,2357.1,2571.4,2842.9,2942.9,2590
South Deering,51,14000,People,580,625,601,624,393,633,639,562,578,1850,616.7,-1.4,-8.7,-7.4,-6,4521.4,4564.3,4014.3,4142.9,4464.3,4292.9,4457.1,4128.6,4405
South Deering,51,14000,Property,917,1110,1035,980,588,857,751,663,902,3125,1041.7,14.4,5.3,-8,-13,6121.4,5364.3,4735.7,6550,7928.6,7392.9,7000,6442.9,7440.7
South Deering,51,14000,Society,284,335,258,255,170,368,250,240,253,848,282.7,-30.7,-31.2,-0.8,-11,2628.6,1785.7,1714.3,2028.6,2392.9,1842.9,1821.4,1807.1,2019.3
East Side,52,22000,People,431,500,423,460,280,374,340,378,432,1383,461,23,15.5,-6.1,-6,1700,1545.5,1718.2,1959.1,2272.7,1922.7,2090.9,1963.6,2095.5
East Side,52,22000,Property,536,690,672,725,425,376,435,464,645,2087,695.7,92.8,71.5,-11,-7,1709.1,1977.3,2109.1,2436.4,3136.4,3054.5,3295.5,2931.8,3162.3
East Side,52,22000,Society,198,287,208,227,134,256,180,170,227,722,240.7,-11.3,-11.3,0,-6,1163.6,818.2,772.7,900,1304.5,945.5,1031.8,1031.8,1094.1
West Pullman,53,26000,People,1089,1200,1242,1078,768,1411,1395,1274,1101,3520,1173.3,-23.6,-22,2.1,-6,5426.9,5365.4,4900,4188.5,4615.4,4776.9,4146.2,4234.6,4512.7
West Pullman,53,26000,Property,1689,1768,1780,1579,969,1558,1756,1597,1480,5127,1709,1.3,-5,-6.3,-13,5992.3,6753.8,6142.3,6496.2,6800,6846.2,6073.1,5692.3,6573.1
West Pullman,53,26000,Society,629,645,684,590,471,902,713,678,644,1919,639.7,-34.6,-28.6,9.2,1,3469.2,2742.3,2607.7,2419.2,2480.8,2630.8,2269.2,2476.9,2460.4
Riverdale,54,7000,People,518,577,549,497,372,581,482,484,522,1623,541,-14.5,-10.2,5,-4,8300,6885.7,6914.3,7400,8242.9,7842.9,7100,7457.1,7728.6
Riverdale,54,7000,Property,547,548,484,399,292,482,383,455,394,1431,477,-17.2,-18.3,-1.3,-17,6885.7,5471.4,6500,7814.3,7828.6,6914.3,5700,5628.6,6814.3
Riverdale,54,7000,Society,209,162,152,174,119,334,206,186,186,488,162.7,-47.9,-44.3,6.9,14,4771.4,2942.9,2657.1,2985.7,2314.3,2171.4,2485.7,2657.1,2324.3
Hegewisch,55,10000,People,206,236,218,207,160,184,174,218,220,661,220.3,12.5,19.6,6.3,-0,1840,1740,2180,2060,2360,2180,2070,2200,2203
Hegewisch,55,10000,Property,322,401,448,462,261,233,253,309,422,1311,437,98.3,81.1,-8.7,-3,2330,2530,3090,3220,4010,4480,4620,4220,4370
Hegewisch,55,10000,Society,90,136,140,101,79,81,81,90,99,377,125.7,24.7,22.2,-2,-21,810,810,900,900,1360,1400,1010,990,1257
Garfield Ridge,56,35000,People,473,545,541,521,298,421,427,437,454,1607,535.7,23.8,7.8,-12.9,-15,1202.9,1220,1248.6,1351.4,1557.1,1545.7,1488.6,1297.1,1530.6
Garfield Ridge,56,35000,Property,1176,1368,1405,1099,652,1118,897,883,976,3872,1290.7,-1.7,-12.7,-11.2,-24,3194.3,2562.9,2522.9,3360,3908.6,4014.3,3140,2788.6,3687.7
Garfield Ridge,56,35000,Society,307,375,467,426,199,328,235,248,335,1268,422.7,29.9,2.1,-21.4,-21,937.1,671.4,708.6,877.1,1071.4,1334.3,1217.1,957.1,1207.7
Archer Heights,57,14000,People,284,314,303,252,153,230,218,240,229,869,289.7,9.6,-0.4,-9.1,-21,1642.9,1557.1,1714.3,2028.6,2242.9,2164.3,1800,1635.7,2069.3
Archer Heights,57,14000,Property,602,560,675,701,398,475,383,351,619,1936,645.3,47.6,30.3,-11.7,-4,3392.9,2735.7,2507.1,4300,4000,4821.4,5007.1,4421.4,4609.3
Archer Heights,57,14000,Society,121,154,142,148,79,109,93,85,126,444,148,35.8,15.6,-14.9,-15,778.6,664.3,607.1,864.3,1100,1014.3,1057.1,900,1057.1
Brighton Park,58,45000,People,876,932,886,701,487,786,663,741,737,2519,839.7,-10.8,-6.2,5.1,-12,1746.7,1473.3,1646.7,1946.7,2071.1,1968.9,1557.8,1637.8,1866
Brighton Park,58,45000,Property,956,1086,1047,993,706,1030,803,799,1018,3126,1042,-3.6,-1.2,2.5,-2,2288.9,1784.4,1775.6,2124.4,2413.3,2326.7,2206.7,2262.2,2315.6
Brighton Park,58,45000,Society,286,296,309,312,226,419,333,261,334,917,305.7,-25.5,-20.3,7.1,9,931.1,740,580,635.6,657.8,686.7,693.3,742.2,679.3
Bridgeport,60,34000,People,418,484,501,487,310,408,362,400,462,1472,490.7,19.4,13.2,-5.1,-6,1200,1064.7,1176.5,1229.4,1423.5,1473.5,1432.4,1358.8,1443.2
Bridgeport,60,34000,Property,960,953,932,973,649,825,751,694,955,2858,952.7,17.9,15.8,-1.8,0,2426.5,2208.8,2041.2,2823.5,2802.9,2741.2,2861.8,2808.8,2802.1
Bridgeport,60,34000,Society,185,193,215,231,125,222,194,175,201,639,213,4.1,-9.5,-13,-6,652.9,570.6,514.7,544.1,567.6,632.4,679.4,591.2,626.5
New City,61,44000,People,1556,1769,1679,1450,955,1584,1438,1520,1425,4898,1632.7,-8.5,-10,-1.7,-13,3600,3268.2,3454.5,3536.4,4020.5,3815.9,3295.5,3238.6,3710.7
New City,61,44000,Property,1597,1911,1707,1583,1088,1749,1479,1378,1539,5201,1733.7,-9.5,-12,-2.8,-11,3975,3361.4,3131.8,3629.5,4343.2,3879.5,3597.7,3497.7,3940.2
New City,61,44000,Society,660,767,723,574,459,937,671,645,638,2064,688,-38.7,-31.9,11.1,-7,2129.5,1525,1465.9,1500,1743.2,1643.2,1304.5,1450,1563.6
West Elsdon,62,18000,People,264,303,349,303,193,272,217,212,291,955,318.3,11.4,7,-4,-9,1511.1,1205.6,1177.8,1466.7,1683.3,1938.9,1683.3,1616.7,1768.3
West Elsdon,62,18000,Property,478,636,520,467,329,473,371,396,460,1623,541,-1.3,-2.7,-1.5,-15,2627.8,2061.1,2200,2655.6,3533.3,2888.9,2594.4,2555.6,3005.6
West Elsdon,62,18000,Society,134,130,188,146,77,157,136,98,120,464,154.7,-7,-23.6,-17.8,-22,872.2,755.6,544.4,744.4,722.2,1044.4,811.1,666.7,859.4
Gage Park,63,40000,People,740,866,965,730,480,775,654,638,711,2561,853.7,-5.8,-8.3,-2.6,-17,1937.5,1635,1595,1850,2165,2412.5,1825,1777.5,2134.2
Gage Park,63,40000,Property,955,1145,1098,1154,926,957,720,769,1307,3397,1132.3,20.6,36.6,13.3,15,2392.5,1800,1922.5,2387.5,2862.5,2745,2885,3267.5,2830.8
Gage Park,63,40000,Society,275,371,445,334,177,430,350,287,263,1150,383.3,-22.3,-38.8,-21.3,-31,1075,875,717.5,687.5,927.5,1112.5,835,657.5,958.3
Clearing,64,24000,People,272,307,344,341,215,269,279,298,311,992,330.7,26.8,15.6,-8.8,-6,1120.8,1162.5,1241.7,1133.3,1279.2,1433.3,1420.8,1295.8,1377.9
Clearing,64,24000,Property,590,747,590,540,356,489,463,480,535,1877,625.7,10.4,9.4,-0.9,-14,2037.5,1929.2,2000,2458.3,3112.5,2458.3,2250,2229.2,2607.1
Clearing,64,24000,Society,146,194,163,169,95,183,118,155,138,526,175.3,-7.7,-24.6,-18.3,-21,762.5,491.7,645.8,608.3,808.3,679.2,704.2,575,730.4
West Lawn,65,34000,People,467,461,538,486,327,501,373,427,484,1485,495,-3,-3.4,-0.4,-2,1473.5,1097.1,1255.9,1373.5,1355.9,1582.4,1429.4,1423.5,1455.9
West Lawn,65,34000,Property,957,1165,1203,1000,654,950,708,696,954,3368,1122.7,5.3,0.4,-4.6,-15,2794.1,2082.4,2047.1,2814.7,3426.5,3538.2,2941.2,2805.9,3302.1
West Lawn,65,34000,Society,192,234,256,249,151,245,180,145,224,739,246.3,1.6,-8.6,-10,-9,720.6,529.4,426.5,564.7,688.2,752.9,732.4,658.8,724.4
Chicago Lawn,66,56000,People,1806,1917,2039,1806,1102,2173,1870,1842,1670,5762,1920.7,-16.9,-23.1,-7.5,-13,3880.4,3339.3,3289.3,3225,3423.2,3641.1,3225,2982.1,3429.8
Chicago Lawn,66,56000,Property,2255,2546,2199,1965,1305,2310,2150,1966,1900,6710,2236.7,-14.9,-17.7,-3.3,-15,4125,3839.3,3510.7,4026.8,4546.4,3926.8,3508.9,3392.9,3994.1
Chicago Lawn,66,56000,Society,783,821,1077,980,605,1046,877,818,897,2878,959.3,-6.3,-14.2,-8.5,-6,1867.9,1566.1,1460.7,1398.2,1466.1,1923.2,1750,1601.8,1713
West Englewood,67,30000,People,1867,1776,1816,1653,1070,2732,2329,2069,1594,5245,1748.3,-39.5,-41.7,-3.6,-9,9106.7,7763.3,6896.7,6223.3,5920,6053.3,5510,5313.3,5827.7
West Englewood,67,30000,Property,2048,2047,1805,1679,1215,2356,2129,1875,1767,5531,1843.7,-28.7,-25,5.2,-4,7853.3,7096.7,6250,6826.7,6823.3,6016.7,5596.7,5890,6145.7
West Englewood,67,30000,Society,860,986,1027,940,666,1543,1228,1025,967,2953,984.3,-39.1,-37.3,2.9,-2,5143.3,4093.3,3416.7,2866.7,3286.7,3423.3,3133.3,3223.3,3281
Englewood,68,24000,People,1987,2047,2152,2007,1223,2500,2157,2038,1827,6206,2068.7,-19.7,-26.9,-9,-12,10416.7,8987.5,8491.7,8279.2,8529.2,8966.7,8362.5,7612.5,8619.6
Englewood,68,24000,Property,1948,2184,2072,1903,1101,2082,1839,1706,1678,6159,2053,-8.6,-19.4,-11.8,-18,8675,7662.5,7108.3,8116.7,9100,8633.3,7929.2,6991.7,8554.2
Englewood,68,24000,Society,809,884,1009,1069,646,1455,1180,1009,970,2962,987.3,-26.5,-33.3,-9.3,-2,6062.5,4916.7,4204.2,3370.8,3683.3,4204.2,4454.2,4041.7,4113.8
Greater Grand Crossing,69,31000,People,2260,2498,2506,2477,1671,2786,2358,2398,2482,7481,2493.7,-11.1,-10.9,0.2,-0,8987.1,7606.5,7735.5,7290.3,8058.1,8083.9,7990.3,8006.5,8044.2
Greater Grand Crossing,69,31000,Property,2794,3211,2789,2530,1655,2565,2466,2266,2466,8530,2843.3,-1.4,-3.9,-2.5,-13,8274.2,7954.8,7309.7,9012.9,10358.1,8996.8,8161.3,7954.8,9171.9
Greater Grand Crossing,69,31000,Society,921,1056,1221,1103,827,1414,1134,984,1150,3380,1126.7,-22,-18.7,4.3,2,4561.3,3658.1,3174.2,2971,3406.5,3938.7,3558.1,3709.7,3634.5
Lincoln Park,7,70000,People,615,717,686,671,465,772,513,591,684,2074,691.3,-13.1,-11.4,1.9,-1,1102.9,732.9,844.3,878.6,1024.3,980,958.6,977.1,987.6
Lincoln Park,7,70000,Property,2663,2957,3372,2939,1930,3245,2145,2213,2888,9268,3089.3,-9.4,-11,-1.7,-7,4635.7,3064.3,3161.4,3804.3,4224.3,4817.1,4198.6,4125.7,4413.3
Lincoln Park,7,70000,Society,276,265,258,302,185,304,211,206,274,825,275,-0.7,-9.9,-9.3,-0,434.3,301.4,294.3,394.3,378.6,368.6,431.4,391.4,392.9
Ashburn,70,41000,People,657,731,720,690,423,765,626,569,660,2141,713.7,-9.8,-13.7,-4.3,-8,1865.9,1526.8,1387.8,1602.4,1782.9,1756.1,1682.9,1609.8,1740.7
Ashburn,70,41000,Property,1100,1391,1388,1038,663,1227,974,946,1008,3817,1272.3,-15.4,-17.8,-2.9,-21,2992.7,2375.6,2307.3,2682.9,3392.7,3385.4,2531.7,2458.5,3103.2
Ashburn,70,41000,Society,245,320,317,288,190,360,300,299,264,925,308.3,-20,-26.7,-8.3,-14,878,731.7,729.3,597.6,780.5,773.2,702.4,643.9,752
Auburn Gresham,71,45000,People,2326,2463,2500,2232,1424,2916,2355,2341,2080,7195,2398.3,-23.5,-28.7,-6.8,-13,6480,5233.3,5202.2,5168.9,5473.3,5555.6,4960,4622.2,5329.6
Auburn Gresham,71,45000,Property,3006,3309,2971,2902,1776,2989,2729,2671,2742,9182,3060.7,-2.9,-8.3,-5.5,-10,6642.2,6064.4,5935.6,6680,7353.3,6602.2,6448.9,6093.3,6801.6
Auburn Gresham,71,45000,Society,988,1121,1180,979,682,1728,1179,1046,956,3280,1093.3,-43.3,-44.7,-2.3,-13,3840,2620,2324.4,2195.6,2491.1,2622.2,2175.6,2124.4,2429.6
Beverly,72,20000,People,202,244,204,269,216,194,177,216,294,717,239,38.7,51.5,9.3,23,970,885,1080,1010,1220,1020,1345,1470,1195
Beverly,72,20000,Property,571,618,555,578,354,597,541,459,559,1751,583.7,-3.2,-6.4,-3.3,-4,2985,2705,2295,2855,3090,2775,2890,2795,2918.5
Beverly,72,20000,Society,128,156,157,142,90,136,138,122,126,455,151.7,4.4,-7.4,-11.3,-17,680,690,610,640,780,785,710,630,758.5
Washington Heights,73,25000,People,933,985,918,840,539,1080,911,890,809,2743,914.3,-22.2,-25.1,-3.7,-12,4320,3644,3560,3732,3940,3672,3360,3236,3657.2
Washington Heights,73,25000,Property,1591,1845,1626,1456,793,1491,1328,1184,1262,4927,1642.3,-2.3,-15.4,-13.3,-23,5964,5312,4736,6364,7380,6504,5824,5048,6569.2
Washington Heights,73,25000,Society,421,419,525,508,304,654,437,479,449,1452,484,-22.3,-31.3,-11.6,-7,2616,1748,1916,1684,1676,2100,2032,1796,1936
Mount Greenwood,74,19000,People,156,153,154,170,95,119,118,117,141,477,159,42.9,18.5,-17.1,-11,626.3,621.1,615.8,821.1,805.3,810.5,894.7,742.1,836.8
Mount Greenwood,74,19000,Property,285,303,306,278,180,259,310,310,295,887,295.7,7.3,13.9,6.1,-0,1363.2,1631.6,1631.6,1500,1594.7,1610.5,1463.2,1552.6,1556.3
Mount Greenwood,74,19000,Society,99,91,90,79,56,95,90,79,81,260,86.7,-16.8,-14.7,2.5,-7,500,473.7,415.8,521.1,478.9,473.7,415.8,426.3,456.3
Morgan Park,75,21000,People,530,609,648,590,375,591,535,550,580,1847,615.7,-0.2,-1.9,-1.7,-6,2814.3,2547.6,2619,2523.8,2900,3085.7,2809.5,2761.9,2931.9
Morgan Park,75,21000,Property,980,1062,992,963,623,902,907,903,921,3017,1005.7,6.8,2.1,-4.4,-8,4295.2,4319,4300,4666.7,5057.1,4723.8,4585.7,4385.7,4789
Morgan Park,75,21000,Society,274,299,372,317,175,385,252,300,281,988,329.3,-17.7,-27,-11.4,-15,1833.3,1200,1428.6,1304.8,1423.8,1771.4,1509.5,1338.1,1568.1
Ohare,76,13000,People,350,357,395,334,228,325,241,343,332,1086,362,2.8,2.2,-0.6,-8,2500,1853.8,2638.5,2692.3,2746.2,3038.5,2569.2,2553.8,2784.6
Ohare,76,13000,Property,943,1024,1007,931,514,1016,609,757,754,2962,987.3,-8.4,-25.8,-19,-24,7815.4,4684.6,5823.1,7253.8,7876.9,7746.2,7161.5,5800,7594.6
Ohare,76,13000,Society,550,492,294,417,236,349,366,403,375,1203,401,19.5,7.4,-10.1,-6,2684.6,2815.4,3100,4230.8,3784.6,2261.5,3207.7,2884.6,3084.6
Edgewater,77,56000,People,903,864,996,874,588,715,686,805,860,2734,911.3,22.2,20.3,-1.6,-6,1276.8,1225,1437.5,1612.5,1542.9,1778.6,1560.7,1535.7,1627.3
Edgewater,77,56000,Property,1754,2137,2199,1784,1053,1519,1450,1459,1528,6120,2040,17.4,0.6,-14.3,-25,2712.5,2589.3,2605.4,3132.1,3816.1,3926.8,3185.7,2728.6,3642.9
Edgewater,77,56000,Society,245,348,380,364,198,280,211,208,321,1092,364,30,14.6,-11.8,-12,500,376.8,371.4,437.5,621.4,678.6,650,573.2,650
Edison Park,9,12000,People,76,64,49,69,33,75,49,65,66,182,60.7,-8,-12,-4.3,9,625,408.3,541.7,633.3,533.3,408.3,575,550,505.8
Edison Park,9,12000,Property,174,167,198,165,61,153,184,147,106,530,176.7,7.8,-30.7,-35.8,-40,1275,1533.3,1225,1450,1391.7,1650,1375,883.3,1472.5
Edison Park,9,12000,Society,53,63,37,45,25,41,35,32,34,145,48.3,9.8,-17.1,-24.4,-30,341.7,291.7,266.7,441.7,525,308.3,375,283.3,402.5
NA,0,NA,People,279,320,260,266,187,0,0,0,262,846,282,NA,NA,-1.5,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,Property,27,37,43,35,26,0,0,0,42,115,38.3,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,Society,21,22,31,19,26,0,0,0,33,72,24,NA,NA,73.7,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Unknown,NA,People,12,2,1,2,0,0,2,0,0,5,1.7,NA,NA,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Unknown,NA,Property,13,14,6,5,1,0,0,0,4,25,8.3,NA,NA,-20,-52,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Unknown,NA,Society,6,3,0,2,0,0,0,0,1,5,1.7,NA,NA,-50,-41,NA,NA,NA,NA,NA,NA,NA,NA,NA
